owner_id,age,gender,district,city_quarter,breed1,breed1_mixed_breed,breed2,breed_type,dog_year_of_birth,gender_dog,dog_color,roster,first_appearance,appearances,dog_count,dog_age,dog_stage,age_group,age_range,breed1_std
54926,81-90,m,2.0,21.0,Jack Russel Terrier,pure_breed,,K,2002,m,tricolor,2015,2015,3,1,14,senior,71+,80s,JACK RUSSELL TERRIER
55176,71-80,m,3.0,34.0,Dobermann,pure_breed,,I,2003,w,schwarz/braun,2015,2015,3,1,13,senior,71+,70s,DOBERMANN
55835,61-70,w,8.0,82.0,Deutscher Schäfer,pure_breed,,I,2004,w,schwarz/grau,2015,2015,2,1,12,senior,61-70,60s,GERMAN SHEPHERD DOG
56084,51-60,w,7.0,72.0,Berner Sennenhund,pure_breed,,I,2007,w,dreifarbig,2015,2015,2,1,9,senior,51-60,50s,BERNESE MOUNTAIN DOG
60244,51-60,m,12.0,122.0,Chow Chow,pure_breed,,I,2002,w,schwarz,2015,2015,1,1,14,senior,51-60,50s,CHOW CHOW
60397,51-60,m,7.0,74.0,Deutscher Schäfer,pure_breed,,I,2005,w,grau/schwarz,2015,2015,3,1,11,senior,51-60,50s,GERMAN SHEPHERD DOG
60402,61-70,w,11.0,111.0,Mischling klein,Mischling,,K,2013,m,dunkelbraun,2015,2015,3,2,3,puppy,61-70,60s,MISCHLING
60402,61-70,w,11.0,111.0,Border Terrier,pure_breed,,K,2004,m,rot/grau/schwarz,2015,2015,3,2,12,senior,61-70,60s,BORDER TERRIER
61323,71-80,m,8.0,81.0,Mudi,pure_breed,,I,2010,m,blondfarben,2015,2015,3,1,6,adult,71+,70s,MUDI
62389,71-80,m,8.0,83.0,Boxer,pure_breed,,I,2014,w,gestromt,2015,2015,3,1,2,puppy,71+,70s,BOXER
62621,71-80,m,11.0,111.0,Papillon,pure_breed,,K,2004,w,schwarz/weiss,2015,2015,3,1,12,senior,71+,70s,CONTINENTAL TOY SPANIEL
62628,61-70,m,7.0,72.0,Yorkshire Terrier,pure_breed,,K,2007,w,graubraun,2015,2015,3,1,9,senior,61-70,60s,YORKSHIRE TERRIER
63468,71-80,m,7.0,74.0,Mischling klein,Mischling,,K,2003,m,braun/weiss,2015,2015,3,1,13,senior,71+,70s,MISCHLING
63704,71-80,m,10.0,101.0,Dachshund,pure_breed,,K,2012,w,saufarben,2015,2015,3,1,4,adult,71+,70s,DACHSHUND
64202,71-80,w,6.0,63.0,Cairn Terrier,pure_breed,,K,2002,w,beige/braun/schwarz,2015,2015,2,1,14,senior,71+,70s,CAIRN TERRIER
64444,61-70,m,7.0,71.0,Mischling klein,Mischling,,K,2007,w,rot/weiss,2015,2015,3,1,9,senior,61-70,60s,MISCHLING
64689,51-60,m,10.0,101.0,Tibet Terrier,pure_breed,,K,1999,w,weiss,2015,2015,1,1,17,senior,51-60,50s,TIBETAN TERRIER
64718,51-60,m,11.0,115.0,Mischling klein,Mischling,,K,2004,w,weiss/braun,2015,2015,3,1,12,senior,51-60,50s,MISCHLING
64727,51-60,m,8.0,83.0,Border Collie,Mischling,,I,2003,m,schwarz/weiss,2015,2015,3,1,13,senior,51-60,50s,BORDER COLLIE
65665,61-70,w,8.0,82.0,Mops,pure_breed,,K,2002,m,beige,2015,2015,3,2,14,senior,61-70,60s,PUG
65665,61-70,w,8.0,82.0,Mops,pure_breed,,K,2002,m,schwarz,2015,2015,3,2,14,senior,61-70,60s,PUG
65681,41-50,m,2.0,21.0,Italienisches Windspiel,pure_breed,,K,2011,m,blau,2015,2015,3,1,5,adult,41-50,40s,ITALIAN SIGHTHOUND
65713,61-70,w,2.0,21.0,Lagotto Romagnolo,pure_breed,,I,2005,w,braun,2015,2015,3,1,11,senior,61-70,60s,ROMAGNA WATER DOG
65732,51-60,m,7.0,72.0,Holländischer Schäfer,pure_breed,,I,2009,m,gestromt,2015,2015,3,1,7,adult,51-60,50s,DUTCH SHEPHERD DOG
65758,51-60,w,7.0,71.0,Yorkshire Terrier,pure_breed,,K,2007,m,black/tan,2015,2015,3,2,9,senior,51-60,50s,YORKSHIRE TERRIER
65758,51-60,w,7.0,71.0,Welsh Springer Spaniel,pure_breed,,I,2002,w,rot/weiss,2015,2015,3,2,14,senior,51-60,50s,WELSH SPRINGER SPANIEL
65848,71-80,m,12.0,122.0,Pinscher,Mischling,,K,2002,w,schwarz/braun,2015,2015,2,1,14,senior,71+,70s,AFFENPINSCHER
65940,41-50,w,8.0,81.0,Berner Sennenhund,pure_breed,,I,2010,w,tricolor,2015,2015,3,1,6,adult,41-50,40s,BERNESE MOUNTAIN DOG
65975,61-70,w,7.0,74.0,Labrador Retriever,pure_breed,,I,2006,m,schwarz,2015,2015,3,2,10,senior,61-70,60s,LABRADOR RETRIEVER
65975,61-70,w,7.0,74.0,Labrador Retriever,pure_breed,,I,2002,w,braun,2015,2015,3,2,14,senior,61-70,60s,LABRADOR RETRIEVER
65981,51-60,w,6.0,63.0,Labrador Retriever,pure_breed,,I,2013,m,gelb,2015,2015,3,1,3,puppy,51-60,50s,LABRADOR RETRIEVER
66144,51-60,m,5.0,51.0,Deutsche Dogge,pure_breed,,I,2013,w,gelb,2015,2015,3,2,3,puppy,51-60,50s,GREAT DANE
66144,51-60,m,5.0,51.0,Labrador Retriever,pure_breed,,I,2006,m,braun,2015,2015,3,2,10,senior,51-60,50s,LABRADOR RETRIEVER
66151,51-60,m,11.0,115.0,Deutscher Schäfer,pure_breed,,I,2008,w,schwarz/braun/weiss,2015,2015,3,1,8,adult,51-60,50s,GERMAN SHEPHERD DOG
66266,61-70,m,9.0,91.0,Mischling klein,Mischling,,K,2006,w,tricolor,2015,2015,3,1,10,senior,61-70,60s,MISCHLING
66298,41-50,m,6.0,63.0,Magyar vizsla,pure_breed,,I,2010,m,gelb,2015,2015,3,1,6,adult,41-50,40s,HUNGARIAN WIRE-HAIRED POINTER
66515,61-70,m,8.0,83.0,Labrador Retriever,pure_breed,,I,2007,w,braun,2015,2015,3,2,9,senior,61-70,60s,LABRADOR RETRIEVER
66515,61-70,m,8.0,83.0,Labrador Retriever,pure_breed,,I,2011,w,braun,2015,2015,3,2,5,adult,61-70,60s,LABRADOR RETRIEVER
66524,51-60,w,12.0,123.0,Mops,Mischling,Chihuahua,K,2013,m,blue/merle,2015,2015,2,2,3,puppy,51-60,50s,PUG
66524,51-60,w,12.0,123.0,Border Collie,pure_breed,,I,2007,w,weiss/schwarz,2015,2015,2,2,9,senior,51-60,50s,BORDER COLLIE
