dog_breed,dog_breed_type_short,dog_breed_type,query_match
Deutscher Wachtel,I,Rassentypenliste I,GERMAN SPANIEL
Do-Khyi,I,Rassentypenliste I,TIBETAN MASTIFF
Dobermann,I,Rassentypenliste I,DOBERMANN
Dogge,I,Rassentypenliste I,FRENCH BULLDOG
Dogo Argentino,I,Rassentypenliste I,DOGO ARGENTINO
Dogo Canario,,,
Dürbächler,,,
Elo,,,BICHON FRISE
Elo gross,I,Rassentypenliste I,
Elo klein,K,Kleinwüchsig,
Englische Bulldogge,I,Rassentypenliste I,
Englischer,,,ENGLISH POINTER
English Cocker Spaniel,K,Kleinwüchsig,ENGLISH COCKER SPANIEL
English Setter,I,Rassentypenliste I,ENGLISH SETTER
English Springer Spaniel,I,Rassentypenliste I,ENGLISH SPRINGER SPANIEL
English Staffordshire Terrier,II,Rassentypenliste II,
English Toy Terrier,K,Kleinwüchsig,ENGLISH TOY TERRIER (BLACK &TAN)
Entlebucher,I,Rassentypenliste I,ENTLEBUCH CATTLE DOG
Entlebucher Sennenhund,I,Rassentypenliste I,ENTLEBUCH CATTLE DOG
Epagneul,I,Rassentypenliste I,JAPANESE CHIN
Epagneul Breton,I,Rassentypenliste I,BRITTANY SPANIEL
Eurasier,I,Rassentypenliste I,EURASIAN
Field Spaniel,I,Rassentypenliste I,FIELD SPANIEL
Fila Brasileiro,I,Rassentypenliste I,FILA BRASILEIRO
Finnischer Lapphund,I,Rassentypenliste I,FINNISH LAPPONIAN DOG
Flat Coated Retriever,I,Rassentypenliste I,FLAT COATED RETRIEVER
Foo Dog gross,I,Rassentypenliste I,
Foo Dog klein,K,Kleinwüchsig,
Foxterrier,K,Kleinwüchsig,
Französische Bulldogge,K,Kleinwüchsig,FRENCH BULLDOG
Fuchs Terrier,I,Rassentypenliste I,
Galgo,I,Rassentypenliste I,SPANISH GREYHOUND
Galgo Español,I,Rassentypenliste I,SPANISH GREYHOUND
German Shepard,I,Rassentypenliste I,
Golden Retriever,I,Rassentypenliste I,GOLDEN RETRIEVER
Goldendoodle,I,Rassentypenliste I,
Gordon Setter,I,Rassentypenliste I,GORDON SETTER
Gos d'Atura Català,I,Rassentypenliste I,CATALAN SHEEPDOG
Greyhound,I,Rassentypenliste I,POLISH GREYHOUND
Griffon,I,Rassentypenliste I,BRIQUET GRIFFON VENDEEN
Groenendael,I,Rassentypenliste I,BELGIAN SHEPHERD DOG
Grosspudel,I,Rassentypenliste I,
Hannoverscher,I,Rassentypenliste I,HANOVERIAN SCENT HOUND
Harzer Fuchs,I,Rassentypenliste I,
Havaneser,K,Kleinwüchsig,HAVANESE
Hirtenhund,I,Rassentypenliste I,BERGAMASCO SHEPHERD DOG
Holländischer Schäfer,I,Rassentypenliste I,DUTCH SHEPHERD DOG
Hovawart,I,Rassentypenliste I,HOVAWART
