breed,link,translations,alt_names,no_accent,breed_en
EPAGNEUL BRETON,https://fci.be/en/nomenclature/BRITTANY-SPANIEL-95.html,"['BRITTANY SPANIEL', 'EPAGNEUL BRETON', 'BRETONISCHER SPANIEL', 'SPANIEL BRETÓN']","['spaniel bretón', 'bretonischer spaniel', 'brittany spaniel', 'epagneul breton']","['spaniel breton', 'bretonischer spaniel', 'brittany spaniel', 'epagneul breton']",BRITTANY SPANIEL
EPAGNEUL DE PONT-AUDEMER,https://fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html,"['PONT-AUDEMER SPANIEL', 'EPAGNEUL DE PONT-AUDEMER', 'PONT-AUDEMER SPANIEL', 'SPANIEL DE PONT-AUDEMER']","['pont-audemer spaniel', 'spaniel de pont-audemer', 'epagneul de pont-audemer']","['pont-audemer spaniel', 'spaniel de pont-audemer', 'epagneul de pont-audemer']",PONT-AUDEMER SPANIEL
EPAGNEUL FRANÇAIS,https://fci.be/en/nomenclature/FRENCH-SPANIEL-175.html,"['FRENCH SPANIEL', 'EPAGNEUL FRANÇAIS', 'FRANZÖSICHER SPANIEL', 'SPANIEL FRANCÉS']","['epagneul français', 'spaniel francés', 'french spaniel', 'französicher spaniel']","['epagneul francais', 'spaniel frances', 'french spaniel', 'franzosicher spaniel']",FRENCH SPANIEL
EPAGNEUL NAIN CONTINENTAL,https://fci.be/en/nomenclature/CONTINENTAL-TOY-SPANIEL-77.html,"['CONTINENTAL TOY SPANIEL', 'EPAGNEUL NAIN CONTINENTAL', 'KONTINENTALER ZWERGSPANIEL', 'SPANIEL CONTINENTAL ENANO DE COMPAÑÍA']","['continental toy spaniel', 'epagneul nain continental', 'spaniel continental enano de compañía', 'kontinentaler zwergspaniel']","['continental toy spaniel', 'epagneul nain continental', 'spaniel continental enano de compania', 'kontinentaler zwergspaniel']",CONTINENTAL TOY SPANIEL
EPAGNEUL PICARD,https://fci.be/en/nomenclature/PICARDY-SPANIEL-108.html,"['PICARDY SPANIEL', 'EPAGNEUL PICARD', 'PICARDIE-SPANIEL', 'SPANIEL PICARDO']","['picardie-spaniel', 'epagneul picard', 'spaniel picardo', 'picardy spaniel']","['picardie-spaniel', 'epagneul picard', 'spaniel picardo', 'picardy spaniel']",PICARDY SPANIEL
ERDÉLYI KOPÓ,https://fci.be/en/nomenclature/HUNGARIAN-HOUND-TRANSYLVANIAN-SCENT-HOUND-241.html,"['HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND', 'CHIEN COURANT DE TRANSYLVANIE', 'UNGARISCHE BRACKE - TRANSYLVANISCHER LAUFHUND', 'SABUESO HÚNGARO - SABUESO DE TRANSILVANIA']","['ungarische bracke - transylvanischer laufhund', 'hungarian hound - transylvanian scent hound', 'erdélyi kopó', 'sabueso húngaro - sabueso de transilvania', 'chien courant de transylvanie']","['ungarische bracke - transylvanischer laufhund', 'hungarian hound - transylvanian scent hound', 'erdelyi kopo', 'sabueso hungaro - sabueso de transilvania', 'chien courant de transylvanie']",HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND
EURASIER,https://fci.be/en/nomenclature/EURASIAN-291.html,"['EURASIAN', 'EURASIER', 'EURASIER', 'EURÁSICO']","['eurasier', 'eurasian', 'eurásico']","['eurasier', 'eurasian', 'eurasico']",EURASIAN
FIELD SPANIEL,https://fci.be/en/nomenclature/FIELD-SPANIEL-123.html,"['FIELD SPANIEL', 'FIELD SPANIEL', 'FIELD SPANIEL', 'FIELD SPANIEL']",['field spaniel'],['field spaniel'],FIELD SPANIEL
FILA BRASILEIRO,https://fci.be/en/nomenclature/FILA-BRASILEIRO-225.html,"['FILA BRASILEIRO', 'FILA BRASILEIRO', 'FILA BRASILEIRO', 'FILA BRASILEÑO']","['fila brasileiro', 'fila brasileño']","['fila brasileiro', 'fila brasileno']",FILA BRASILEIRO
FLAT COATED RETRIEVER,https://fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html,"['FLAT COATED RETRIEVER', 'RETRIEVER A POIL PLAT', 'FLAT COATED RETRIEVER', 'COBRADOR DE PELO LISO']","['retriever a poil plat', 'cobrador de pelo liso', 'flat coated retriever']","['retriever a poil plat', 'cobrador de pelo liso', 'flat coated retriever']",FLAT COATED RETRIEVER
FOX TERRIER (SMOOTH),https://fci.be/en/nomenclature/FOX-TERRIER-SMOOTH-12.html,"['FOX TERRIER (SMOOTH)', 'FOX TERRIER A POIL LISSE', 'FOX TERRIER (GLATTHAAR)', 'FOX TERRIER DE PELO LISO']","['fox terrier (smooth)', 'fox terrier a poil lisse', 'fox terrier (glatthaar)', 'fox terrier de pelo liso']","['fox terrier (smooth)', 'fox terrier a poil lisse', 'fox terrier (glatthaar)', 'fox terrier de pelo liso']",FOX TERRIER (SMOOTH)
FOX TERRIER (WIRE),https://fci.be/en/nomenclature/FOX-TERRIER-WIRE-169.html,"['FOX TERRIER (WIRE)', 'FOX-TERRIER A POIL DUR', 'FOX TERRIER (DRAHTHAAR)', 'FOX TERRIER DE PELO ALAMBRE']","['fox-terrier a poil dur', 'fox terrier de pelo alambre', 'fox terrier (wire)', 'fox terrier (drahthaar)']","['fox-terrier a poil dur', 'fox terrier de pelo alambre', 'fox terrier (wire)', 'fox terrier (drahthaar)']",FOX TERRIER (WIRE)
FRANÇAIS BLANC ET NOIR,https://fci.be/en/nomenclature/FRENCH-WHITE-BLACK-HOUND-220.html,"['FRENCH WHITE & BLACK HOUND', 'FRANÇAIS BLANC ET NOIR', 'FRANZÖSISCHER WEISS-SCHWARZER LAUFHUND', 'SABUESO FRANCÉS BLANCO Y NEGRO']","['french white & black hound', 'sabueso francés blanco y negro', 'français blanc et noir', 'französischer weiss-schwarzer laufhund']","['french white & black hound', 'sabueso frances blanco y negro', 'francais blanc et noir', 'franzosischer weiss-schwarzer laufhund']",FRENCH WHITE & BLACK HOUND
FRANÇAIS BLANC ET ORANGE,https://fci.be/en/nomenclature/FRENCH-WHITE-AND-ORANGE-HOUND-316.html,"['FRENCH WHITE AND ORANGE HOUND', 'FRANÇAIS BLANC ET ORANGE', 'FRANZÖSISCHER WEISS-ORANGER LAUFHUND', 'SABUESO FRANCÉS BLANCO Y NARANJA']","['französischer weiss-oranger laufhund', 'français blanc et orange', 'french white and orange hound', 'sabueso francés blanco y naranja']","['franzosischer weiss-oranger laufhund', 'francais blanc et orange', 'french white and orange hound', 'sabueso frances blanco y naranja']",FRENCH WHITE AND ORANGE HOUND
FRANÇAIS TRICOLORE,https://fci.be/en/nomenclature/FRENCH-TRICOLOUR-HOUND-219.html,"['FRENCH TRICOLOUR HOUND', 'FRANÇAIS TRICOLORE', 'FRANZÖSISCHER DREIFARBIGER LAUFHUND', 'SABUESO FRANCÉS TRICOLOR']","['sabueso francés tricolor', 'french tricolour hound', 'français tricolore', 'französischer dreifarbiger laufhund']","['sabueso frances tricolor', 'french tricolour hound', 'francais tricolore', 'franzosischer dreifarbiger laufhund']",FRENCH TRICOLOUR HOUND
GALGO ESPAÑOL,https://fci.be/en/nomenclature/SPANISH-GREYHOUND-285.html,"['SPANISH GREYHOUND', 'LEVRIER ESPAGNOL', 'SPANISCHER WINDHUND', 'GALGO ESPAÑOL']","['galgo español', 'spanischer windhund', 'spanish greyhound', 'levrier espagnol']","['galgo espanol', 'spanischer windhund', 'spanish greyhound', 'levrier espagnol']",SPANISH GREYHOUND
GAMMEL DANSK HØNSEHUND,https://fci.be/en/nomenclature/OLD-DANISH-POINTING-DOG-281.html,"['OLD DANISH POINTING DOG', ""CHIEN D'ARRET DANOIS ANCESTRAL"", 'ALTDÄNISCHER VORSTEHHUND', 'ANTIGUO PERRO DE MUESTRA DANÉS']","[""chien d'arret danois ancestral"", 'gammel dansk hønsehund', 'antiguo perro de muestra danés', 'old danish pointing dog', 'altdänischer vorstehhund']","[""chien d'arret danois ancestral"", 'gammel dansk hnsehund', 'antiguo perro de muestra danes', 'old danish pointing dog', 'altdanischer vorstehhund']",OLD DANISH POINTING DOG
GASCON SAINTONGEOIS,https://fci.be/en/nomenclature/GASCON-SAINTONGEOIS-21.html,"['GASCON SAINTONGEOIS', 'GASCON SAINTONGEOIS', 'GASCON SAINTONGEOIS', 'GASCON SAINTONGEOIS']",['gascon saintongeois'],['gascon saintongeois'],GASCON SAINTONGEOIS
GOLDEN RETRIEVER,https://fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html,"['GOLDEN RETRIEVER', 'GOLDEN RETRIEVER', 'GOLDEN RETRIEVER', 'COBRADOR DORADO']","['cobrador dorado', 'golden retriever']","['cobrador dorado', 'golden retriever']",GOLDEN RETRIEVER
GONCZY POLSKI,https://fci.be/en/nomenclature/POLISH-HUNTING-DOG-354.html,"['POLISH HUNTING DOG', 'CHIEN COURANT POLONAIS', 'POLNISCHER JAGDHUND', 'GONCZY POLSKI']","['gonczy polski', 'polish hunting dog', 'polnischer jagdhund', 'chien courant polonais']","['gonczy polski', 'polish hunting dog', 'polnischer jagdhund', 'chien courant polonais']",POLISH HUNTING DOG
GORDON SETTER,https://fci.be/en/nomenclature/GORDON-SETTER-6.html,"['GORDON SETTER', 'SETTER GORDON', 'GORDON SETTER', 'GORDON SETTER']","['setter gordon', 'gordon setter']","['setter gordon', 'gordon setter']",GORDON SETTER
GOS D'ATURA CATALÀ,https://fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html,"['CATALAN SHEEPDOG', 'CHIEN DE BERGER CATALAN', 'KATALANISCHER SCHÄFERHUND', 'PERRO DE PASTOR CATALÁN']","[""gos d'atura català"", 'katalanischer schäferhund', 'chien de berger catalan', 'catalan sheepdog', 'perro de pastor catalán']","[""gos d'atura catala"", 'katalanischer schaferhund', 'chien de berger catalan', 'catalan sheepdog', 'perro de pastor catalan']",CATALAN SHEEPDOG
GOS RATER VALENCIÀ,https://fci.be/en/nomenclature/VALENCIAN-TERRIER-370.html,"['VALENCIAN TERRIER', 'RATIER VALENCIEN', 'RATONERO VALENCIANO', 'RATONERO VALENCIANO']","['ratier valencien', 'ratonero valenciano', 'gos rater valencià', 'valencian terrier']","['ratier valencien', 'ratonero valenciano', 'gos rater valencia', 'valencian terrier']",VALENCIAN TERRIER
GRAND ANGLO-FRANÇAIS BLANC ET NOIR,https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-AND-BLACK-HOUND-323.html,"['GREAT ANGLO-FRENCH WHITE AND BLACK HOUND', 'GRAND ANGLO-FRANÇAIS BLANC ET NOIR', 'GROSSER ANGLO-FRANZ.WEISS-SCHWARZER LAUFHUND', 'GRAN SABUESO ANGLO-FRANCÉS BLANCO Y NEGRO']","['grosser anglo-franz.weiss-schwarzer laufhund', 'gran sabueso anglo-francés blanco y negro', 'great anglo-french white and black hound', 'grand anglo-français blanc et noir']","['grosser anglo-franz.weiss-schwarzer laufhund', 'gran sabueso anglo-frances blanco y negro', 'great anglo-french white and black hound', 'grand anglo-francais blanc et noir']",GREAT ANGLO-FRENCH WHITE AND BLACK HOUND
GRAND ANGLO-FRANÇAIS BLANC ET ORANGE,https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-ORANGE-HOUND-324.html,"['GREAT ANGLO-FRENCH WHITE & ORANGE HOUND', 'GRAND ANGLO-FRANÇAIS BLANC & ORANGE', 'GROSSER ANGLO-FRANZÖSISCHER WEISS-ORANGER LAUFHUND', 'GRAN SABUESO ANGLO-FRANCÉS BLANCO Y NARANJA']","['great anglo-french white & orange hound', 'grosser anglo-französischer weiss-oranger laufhund', 'grand anglo-français blanc et orange', 'gran sabueso anglo-francés blanco y naranja', 'grand anglo-français blanc & orange']","['great anglo-french white & orange hound', 'grosser anglo-franzosischer weiss-oranger laufhund', 'grand anglo-francais blanc et orange', 'gran sabueso anglo-frances blanco y naranja', 'grand anglo-francais blanc & orange']",GREAT ANGLO-FRENCH WHITE & ORANGE HOUND
GRAND ANGLO-FRANÇAIS TRICOLORE,https://fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-TRICOLOUR-HOUND-322.html,"['GREAT ANGLO-FRENCH TRICOLOUR HOUND', 'GRAND ANGLO-FRANÇAIS TRICOLORE', 'GROSSER ANGLO-FRANZÖSISCHER DREIFARBIGER LAUFHUND', 'GRAN SABUESO ANGLO-FRANCÉS TRICOLOR']","['grosser anglo-französischer dreifarbiger laufhund', 'grand anglo-français tricolore', 'gran sabueso anglo-francés tricolor', 'great anglo-french tricolour hound']","['grosser anglo-franzosischer dreifarbiger laufhund', 'grand anglo-francais tricolore', 'gran sabueso anglo-frances tricolor', 'great anglo-french tricolour hound']",GREAT ANGLO-FRENCH TRICOLOUR HOUND
GRAND BASSET GRIFFON VENDEEN,https://fci.be/en/nomenclature/GRAND-BASSET-GRIFFON-VENDEEN-33.html,"['GRAND BASSET GRIFFON VENDEEN', 'GRAND BASSET GRIFFON VENDEEN', 'GROSSER BASSET GRIFFON VENDEEN', 'GRAN BASSET GRIFÓN VENDEANO']","['gran basset grifón vendeano', 'grosser basset griffon vendeen', 'grand basset griffon vendeen']","['gran basset grifon vendeano', 'grosser basset griffon vendeen', 'grand basset griffon vendeen']",GRAND BASSET GRIFFON VENDEEN
GRAND BLEU DE GASCOGNE,https://fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html,"['GREAT GASCONY BLUE', 'GRAND BLEU DE GASCOGNE', 'GROSSER BLAUER GASCOGNE-LAUFHUND', 'GRAN SABUESO AZUL DE GASCUÑA']","['great gascony blue', 'gran sabueso azul de gascuña', 'grand bleu de gascogne', 'grosser blauer gascogne-laufhund']","['great gascony blue', 'gran sabueso azul de gascuna', 'grand bleu de gascogne', 'grosser blauer gascogne-laufhund']",GREAT GASCONY BLUE
GRAND GRIFFON VENDEEN,https://fci.be/en/nomenclature/GRAND-GRIFFON-VENDEEN-282.html,"['GRAND GRIFFON VENDEEN', 'GRAND GRIFFON VENDEEN', 'GROSSER GRIFFON VENDEEN', 'GRAN GRIFON VENDEANO']","['grand griffon vendeen', 'grosser griffon vendeen', 'gran grifon vendeano']","['grand griffon vendeen', 'grosser griffon vendeen', 'gran grifon vendeano']",GRAND GRIFFON VENDEEN
GREYHOUND,https://fci.be/en/nomenclature/GREYHOUND-158.html,"['GREYHOUND', 'LEVRIER ANGLAIS', 'GREYHOUND', 'GREYHOUND']","['greyhound', 'levrier anglais']","['greyhound', 'levrier anglais']",GREYHOUND
GRIFFON A POIL DUR KORTHALS,https://fci.be/en/nomenclature/WIRE-HAIRED-POINTING-GRIFFON-KORTHALS-107.html,"['WIRE-HAIRED POINTING GRIFFON KORTHALS', 'GRIFFON A POIL DUR KORTHALS', 'FRANZÖSISCHER RAUHHAARIGER VORSTEHHUND (KORTHALS)', 'GRIFÓN DE MUESTRA DE PELO DURO']","['französischer rauhhaariger vorstehhund (korthals)', 'grifón de muestra de pelo duro', 'wire-haired pointing griffon korthals', 'griffon a poil dur korthals']","['franzosischer rauhhaariger vorstehhund (korthals)', 'grifon de muestra de pelo duro', 'wire-haired pointing griffon korthals', 'griffon a poil dur korthals']",WIRE-HAIRED POINTING GRIFFON KORTHALS
GRIFFON BELGE,https://fci.be/en/nomenclature/GRIFFON-BELGE-81.html,"['GRIFFON BELGE', 'GRIFFON BELGE', 'BELGISCHER GRIFFON', 'GRIFFON BELGE']","['belgischer griffon', 'griffon belge']","['belgischer griffon', 'griffon belge']",GRIFFON BELGE
GRIFFON BLEU DE GASCOGNE,https://fci.be/en/nomenclature/BLUE-GASCONY-GRIFFON-32.html,"['BLUE GASCONY GRIFFON', 'GRIFFON BLEU DE GASCOGNE', 'BLAUER GRIFFON DER GASCOGNE', 'GRIFÓN AZUL DE GASCUÑA']","['blue gascony griffon', 'blauer griffon der gascogne', 'grifón azul de gascuña', 'griffon bleu de gascogne']","['blue gascony griffon', 'blauer griffon der gascogne', 'grifon azul de gascuna', 'griffon bleu de gascogne']",BLUE GASCONY GRIFFON
GRIFFON BRUXELLOIS,https://fci.be/en/nomenclature/GRIFFON-BRUXELLOIS-80.html,"['GRIFFON BRUXELLOIS', 'GRIFFON BRUXELLOIS', 'BRÜSSELER GRIFFON', 'GRIFFON BRUXELLOIS']","['brüsseler griffon', 'griffon bruxellois']","['brusseler griffon', 'griffon bruxellois']",GRIFFON BRUXELLOIS
GRIFFON FAUVE DE BRETAGNE,https://fci.be/en/nomenclature/FAWN-BRITTANY-GRIFFON-66.html,"['FAWN BRITTANY GRIFFON', 'GRIFFON FAUVE DE BRETAGNE', 'GRIFFON FAUVE DE BRETAGNE', 'GRIFÓN LEONADO DE BRETAÑA']","['fawn brittany griffon', 'grifón leonado de bretaña', 'griffon fauve de bretagne']","['fawn brittany griffon', 'grifon leonado de bretana', 'griffon fauve de bretagne']",FAWN BRITTANY GRIFFON
GRIFFON NIVERNAIS,https://fci.be/en/nomenclature/GRIFFON-NIVERNAIS-17.html,"['GRIFFON NIVERNAIS', 'GRIFFON NIVERNAIS', 'GRIFFON NIVERNAIS', 'GRIFÓN DEL NIVERNAIS']","['griffon nivernais', 'grifón del nivernais']","['griffon nivernais', 'grifon del nivernais']",GRIFFON NIVERNAIS
GRØNLANDSHUND,https://fci.be/en/nomenclature/GREENLAND-DOG-274.html,"['GREENLAND DOG', 'CHIEN DU GROENLAND', 'GROENLANDHUND', 'PERRO DE GROENLANDIA']","['grønlandshund', 'greenland dog', 'groenlandhund', 'perro de groenlandia', 'chien du groenland']","['grnlandshund', 'greenland dog', 'groenlandhund', 'perro de groenlandia', 'chien du groenland']",GREENLAND DOG
GROSSER MÜNSTERLÄNDER VORSTEHHUND,https://fci.be/en/nomenclature/LARGE-MUNSTERLANDER-118.html,"['LARGE MUNSTERLANDER', 'GRAND EPAGNEUL DE MÜNSTER', 'GROSSER MÜNSTERLÄNDER VORSTEHHUND', 'GRAN MUNSTERLANDER']","['large munsterlander', 'grand epagneul de münster', 'gran munsterlander', 'grosser münsterländer vorstehhund']","['large munsterlander', 'grand epagneul de munster', 'gran munsterlander', 'grosser munsterlander vorstehhund']",LARGE MUNSTERLANDER
GROSSER SCHWEIZER SENNENHUND,https://fci.be/en/nomenclature/GREAT-SWISS-MOUNTAIN-DOG-58.html,"['GREAT SWISS MOUNTAIN DOG', 'GRAND BOUVIER SUISSE', 'GROSSER SCHWEIZER SENNENHUND', 'GRAN BOYERO SUIZO']","['gran boyero suizo', 'great swiss mountain dog', 'grosser schweizer sennenhund', 'grand bouvier suisse']","['gran boyero suizo', 'great swiss mountain dog', 'grosser schweizer sennenhund', 'grand bouvier suisse']",GREAT SWISS MOUNTAIN DOG
HALDENSTØVER,https://fci.be/en/nomenclature/HALDEN-HOUND-267.html,"['HALDEN HOUND', 'CHIEN COURANT DE HALDEN', 'HALDEN-BRACKE', 'SABUESO HALDEN']","['sabueso halden', 'halden-bracke', 'halden hound', 'chien courant de halden', 'haldenstøver']","['sabueso halden', 'halden-bracke', 'halden hound', 'chien courant de halden', 'haldenstver']",HALDEN HOUND
HAMILTONSTÖVARE,https://fci.be/en/nomenclature/HAMILTONSTOVARE-132.html,"['HAMILTONSTÖVARE', 'CHIEN COURANT DE HAMILTON', 'HAMILTONSTÖVARE', 'SABUESO HAMILTON']","['hamiltonstövare', 'sabueso hamilton', 'chien courant de hamilton']","['hamiltonstovare', 'sabueso hamilton', 'chien courant de hamilton']",HAMILTONSTÖVARE
HANNOVERSCHER SCHWEISSHUND,https://fci.be/en/nomenclature/HANOVERIAN-SCENT-HOUND-213.html,"['HANOVERIAN SCENT HOUND', 'CHIEN DE RECHERCHE AU SANG DE HANOVRE', 'HANNOVERSCHER SCHWEISSHUND', 'RASTREADOR DE HANNOVER']","['chien de recherche au sang de hanovre', 'hanoverian scent hound', 'hannoverscher schweisshund', 'rastreador de hannover']","['chien de recherche au sang de hanovre', 'hanoverian scent hound', 'hannoverscher schweisshund', 'rastreador de hannover']",HANOVERIAN SCENT HOUND
HARRIER,https://fci.be/en/nomenclature/HARRIER-295.html,"['HARRIER', 'HARRIER', 'HARRIER', 'HARRIER']",['harrier'],['harrier'],HARRIER
HELLINIKOS ICHNILATIS,https://fci.be/en/nomenclature/HELLENIC-HOUND-214.html,"['HELLENIC HOUND', 'CHIEN COURANT GREC', 'GRIECHISCHER LAUFHUND', 'SABUESO HELÉNICO']","['hellenic hound', 'hellinikos ichnilatis', 'chien courant grec', 'sabueso helénico', 'griechischer laufhund']","['hellenic hound', 'hellinikos ichnilatis', 'chien courant grec', 'sabueso helenico', 'griechischer laufhund']",HELLENIC HOUND
HOKKAIDO,https://fci.be/en/nomenclature/HOKKAIDO-261.html,"['HOKKAIDO', 'HOKKAIDO', 'HOKKAIDO', 'HOKKAIDO']",['hokkaido'],['hokkaido'],HOKKAIDO
HOLLANDSE HERDERSHOND,https://fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html,"['DUTCH SHEPHERD DOG', 'BERGER HOLLANDAIS', 'HOLLÄNDISCHER SCHÄFERHUND', 'PASTOR HOLANDÉS']","['dutch shepherd dog', 'pastor holandés', 'berger hollandais', 'hollandse herdershond', 'holländischer schäferhund']","['dutch shepherd dog', 'pastor holandes', 'berger hollandais', 'hollandse herdershond', 'hollandischer schaferhund']",DUTCH SHEPHERD DOG
HOLLANDSE SMOUSHOND,https://fci.be/en/nomenclature/DUTCH-SMOUSHOND-308.html,"['DUTCH SMOUSHOND', 'SMOUS DES PAYS-BAS', 'HOLLÄNDISCHER SMOUSHUND', 'PERRO SMOUS HOLANDÉS']","['dutch smoushond', 'smous des pays-bas', 'perro smous holandés', 'holländischer smoushund', 'hollandse smoushond']","['dutch smoushond', 'smous des pays-bas', 'perro smous holandes', 'hollandischer smoushund', 'hollandse smoushond']",DUTCH SMOUSHOND
HOVAWART,https://fci.be/en/nomenclature/HOVAWART-190.html,"['HOVAWART', 'HOVAWART', 'HOVAWART', 'HOVAWART']",['hovawart'],['hovawart'],HOVAWART
HRVATSKI OVCAR,https://fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html,"['CROATIAN SHEPHERD DOG', 'CHIEN BERGER CROATE', 'KROATISCHER SCHÄFERHUND', 'PERRO PASTOR CROATA']","['croatian shepherd dog', 'kroatischer schäferhund', 'chien berger croate', 'perro pastor croata', 'hrvatski ovcar']","['croatian shepherd dog', 'kroatischer schaferhund', 'chien berger croate', 'perro pastor croata', 'hrvatski ovcar']",CROATIAN SHEPHERD DOG
HYGENHUND,https://fci.be/en/nomenclature/HYGEN-HOUND-266.html,"['HYGEN HOUND', 'CHIEN COURANT DE HYGEN', 'HYGEN-BRACKE', 'SABUESO DE HYGEN']","['hygen hound', 'sabueso de hygen', 'chien courant de hygen', 'hygen-bracke', 'hygenhund']","['hygen hound', 'sabueso de hygen', 'chien courant de hygen', 'hygen-bracke', 'hygenhund']",HYGEN HOUND
IRISH GLEN OF IMAAL TERRIER,https://fci.be/en/nomenclature/IRISH-GLEN-OF-IMAAL-TERRIER-302.html,"['IRISH GLEN OF IMAAL TERRIER', 'TERRIER IRLANDAIS GLEN OF IMAAL', 'IRISCHER GLEN OF IMAAL TERRIER', 'TERRIER GLEN DE IMAAL IRLANDÉS']","['irish glen of imaal terrier', 'terrier glen de imaal irlandés', 'terrier irlandais glen of imaal', 'irischer glen of imaal terrier']","['irish glen of imaal terrier', 'terrier glen de imaal irlandes', 'terrier irlandais glen of imaal', 'irischer glen of imaal terrier']",IRISH GLEN OF IMAAL TERRIER
IRISH RED AND WHITE SETTER,https://fci.be/en/nomenclature/IRISH-RED-AND-WHITE-SETTER-330.html,"['IRISH RED AND WHITE SETTER', 'SETTER IRLANDAIS ROUGE ET BLANC', 'IRISCHER ROT-WEISSER SETTER', 'SETTER IRLANDÉS ROJO Y BLANCO']","['setter irlandais rouge et blanc', 'irish red and white setter', 'irischer rot-weisser setter', 'setter irlandés rojo y blanco']","['setter irlandais rouge et blanc', 'irish red and white setter', 'irischer rot-weisser setter', 'setter irlandes rojo y blanco']",IRISH RED AND WHITE SETTER
IRISH RED SETTER,https://fci.be/en/nomenclature/IRISH-RED-SETTER-120.html,"['IRISH RED SETTER', 'SETTER IRLANDAIS ROUGE', 'IRISCHER ROTER SETTER', 'SETTER IRLANDÉS ROJO']","['setter irlandais rouge', 'irish red setter', 'irischer roter setter', 'setter irlandés rojo']","['setter irlandais rouge', 'irish red setter', 'irischer roter setter', 'setter irlandes rojo']",IRISH RED SETTER
IRISH SOFT COATED WHEATEN TERRIER,https://fci.be/en/nomenclature/IRISH-SOFT-COATED-WHEATEN-TERRIER-40.html,"['IRISH SOFT COATED WHEATEN TERRIER', 'TERRIER IRLANDAIS A POIL DOUX', 'IRISCHER SOFT COATED WHEATEN TERRIER', 'SOFT COATED WHEATEN TERRIER IRLANDÉS']","['soft coated wheaten terrier irlandés', 'terrier irlandais a poil doux', 'irischer soft coated wheaten terrier', 'irish soft coated wheaten terrier']","['soft coated wheaten terrier irlandes', 'terrier irlandais a poil doux', 'irischer soft coated wheaten terrier', 'irish soft coated wheaten terrier']",IRISH SOFT COATED WHEATEN TERRIER
IRISH TERRIER,https://fci.be/en/nomenclature/IRISH-TERRIER-139.html,"['IRISH TERRIER', 'TERRIER IRLANDAIS', 'IRISCHER TERRIER', 'TERRIER IRLANDÉS']","['terrier irlandais', 'irischer terrier', 'irish terrier', 'terrier irlandés']","['terrier irlandais', 'irischer terrier', 'irish terrier', 'terrier irlandes']",IRISH TERRIER
IRISH WATER SPANIEL,https://fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html,"['IRISH WATER SPANIEL', ""CHIEN D'EAU IRLANDAIS"", 'IRISCHER WASSERSPANIEL', 'PERRO DE AGUA IRLANDÉS']","[""chien d'eau irlandais"", 'perro de agua irlandés', 'irish water spaniel', 'irischer wasserspaniel']","[""chien d'eau irlandais"", 'perro de agua irlandes', 'irish water spaniel', 'irischer wasserspaniel']",IRISH WATER SPANIEL
IRISH WOLFHOUND,https://fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html,"['IRISH WOLFHOUND', 'LEVRIER IRLANDAIS', 'IRISCHER WOLFSHUND', 'LEBREL IRLANDÉS']","['irish wolfhound', 'lebrel irlandés', 'levrier irlandais', 'irischer wolfshund']","['irish wolfhound', 'lebrel irlandes', 'levrier irlandais', 'irischer wolfshund']",IRISH WOLFHOUND
ISTARSKI OSTRODLAKI GONIC,https://fci.be/en/nomenclature/ISTRIAN-WIRE-HAIRED-HOUND-152.html,"['ISTRIAN WIRE-HAIRED HOUND', ""CHIEN COURANT D'ISTRIE A POIL DUR"", 'RAUHHAARIGE ISTRIANER BRACKE', 'SABUESO DE ISTRIA DE PELO DURO']","['istrian wire-haired hound', ""chien courant d'istrie a poil dur"", 'sabueso de istria de pelo duro', 'istarski ostrodlaki gonic', 'rauhhaarige istrianer bracke']","['istrian wire-haired hound', ""chien courant d'istrie a poil dur"", 'sabueso de istria de pelo duro', 'istarski ostrodlaki gonic', 'rauhhaarige istrianer bracke']",ISTRIAN WIRE-HAIRED HOUND
ISTARSKI KRATKODLAKI GONIC,https://fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html,"['ISTRIAN SHORT-HAIRED HOUND', ""CHIEN COURANT D'ISTRIE A POIL RAS"", 'KURZHAARIGE ISTRIANER BRACKE', 'SABUESO DE ISTRIA DE PELO CORTO']","[""chien courant d'istrie a poil ras"", 'istrian short-haired hound', 'sabueso de istria de pelo corto', 'istarski kratkodlaki gonic', 'kurzhaarige istrianer bracke']","[""chien courant d'istrie a poil ras"", 'istrian short-haired hound', 'sabueso de istria de pelo corto', 'istarski kratkodlaki gonic', 'kurzhaarige istrianer bracke']",ISTRIAN SHORT-HAIRED HOUND
