breed,link,translations,alt_names,no_accent,breed_en
BRAQUE FRANÇAIS - TYPE GASCOGNE,https://fci.be/en/nomenclature/FRENCH-POINTING-DOG-GASCOGNE-TYPE-133.html,"['FRENCH POINTING DOG - GASCOGNE TYPE', 'BRAQUE FRANÇAIS - TYPE GASCOGNE', 'FRANZÖSISCHER VORSTEHHUND - TYPUS GASCOGNE', 'BRACO FRANCÉS - TIPO GASCUÑA']","['french pointing dog - gascogne type', 'braque français - type gascogne', 'französischer vorstehhund - typus gascogne', 'braco francés - tipo gascuña']","['french pointing dog - gascogne type', 'braque francais - type gascogne', 'franzosischer vorstehhund - typus gascogne', 'braco frances - tipo gascuna']",FRENCH POINTING DOG - GASCOGNE TYPE
BRAQUE FRANÇAIS - TYPE PYRENEES,https://fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html,"['FRENCH POINTING DOG - PYRENEAN TYPE', 'BRAQUE FRANÇAIS - TYPE PYRENEES', 'FRANZÖSISCHER VORSTEHHUND - TYPUS PYRENÄEN', 'BRACO FRANCÉS - TIPO PIRINEOS']","['braco francés - tipo pirineos', 'french pointing dog - pyrenean type', 'französischer vorstehhund - typus pyrenäen', 'braque français - type pyrenees']","['braco frances - tipo pirineos', 'french pointing dog - pyrenean type', 'franzosischer vorstehhund - typus pyrenaen', 'braque francais - type pyrenees']",FRENCH POINTING DOG - PYRENEAN TYPE
BRAQUE SAINT-GERMAIN,https://fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html,"['SAINT GERMAIN POINTER', 'BRAQUE SAINT-GERMAIN', 'BRAQUE SAINT-GERMAIN', 'BRACO SAINT-GERMAIN']","['saint germain pointer', 'braco saint-germain', 'braque saint-germain']","['saint germain pointer', 'braco saint-germain', 'braque saint-germain']",SAINT GERMAIN POINTER
BRIQUET GRIFFON VENDEEN,https://fci.be/en/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html,"['BRIQUET GRIFFON VENDEEN', 'BRIQUET GRIFFON VENDEEN', 'BRIQUET GRIFFON VENDEEN', 'BRIQUET GRIFON VENDEANO']","['briquet grifon vendeano', 'briquet griffon vendeen']","['briquet grifon vendeano', 'briquet griffon vendeen']",BRIQUET GRIFFON VENDEEN
BROHOLMER,https://fci.be/en/nomenclature/BROHOLMER-315.html,"['BROHOLMER', 'BROHOLMER', 'BROHOLMER', 'BROHOLMER']",['broholmer'],['broholmer'],BROHOLMER
BULL TERRIER,https://fci.be/en/nomenclature/BULL-TERRIER-11.html,"['BULL TERRIER', 'BULL TERRIER', 'BULL TERRIER', 'BULL TERRIER']",['bull terrier'],['bull terrier'],BULL TERRIER
BULLDOG,https://fci.be/en/nomenclature/BULLDOG-149.html,"['BULLDOG', 'BULLDOG', 'BULLDOG', 'BULLDOG']",['bulldog'],['bulldog'],BULLDOG
BULLMASTIFF,https://fci.be/en/nomenclature/BULLMASTIFF-157.html,"['BULLMASTIFF', 'BULLMASTIFF', 'BULLMASTIFF', 'BULLMASTIFF']",['bullmastiff'],['bullmastiff'],BULLMASTIFF
CA DE BESTIAR,https://fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html,"['MAJORCA SHEPHERD DOG', 'CHIEN DE BERGER DE MAJORQUE', 'MALLORCA-SCHÄFERHUND', 'PERRO DE PASTOR MALLORQUĺN']","['mallorca-schäferhund', 'chien de berger de majorque', 'perro de pastor mallorquĺn', 'ca de bestiar', 'majorca shepherd dog']","['mallorca-schaferhund', 'chien de berger de majorque', 'perro de pastor mallorquln', 'ca de bestiar', 'majorca shepherd dog']",MAJORCA SHEPHERD DOG
CAIRN TERRIER,https://fci.be/en/nomenclature/CAIRN-TERRIER-4.html,"['CAIRN TERRIER', 'CAIRN TERRIER', 'CAIRN TERRIER', 'CAIRN TERRIER']",['cairn terrier'],['cairn terrier'],CAIRN TERRIER
